game_id,fecha,modo,variante,color,rating_usuario,rating_rival,resultado,num_movimientos
iXOfMJ9Q,2026-08-24 23:37:12.443,bullet,standard,white,3235,2987,win,49
uxUhGMyl,2026-08-24 23:36:12.684,bullet,standard,black,3233,2989,win,84
DxzILOM5,2026-08-24 23:35:35.910,bullet,standard,white,3230,2991,win,35
ZO8V46Nq,2026-08-24 23:34:28.445,bullet,standard,black,3228,2994,win,72
iefq2hpU,2026-08-24 23:33:23.443,bullet,standard,white,3237,2984,loss,88
29AvL8EQ,2026-08-24 23:32:39.729,bullet,standard,black,3247,2975,loss,47
d3P9im2H,2026-08-24 23:32:01.827,bullet,standard,white,3245,2977,win,37
iJ4Ps7Y4,2026-08-24 23:31:51.865,bullet,standard,black,3242,2979,win,16
vspIl8Lf,2026-08-24 23:30:38.866,bullet,standard,white,3240,2981,win,115
cfXzRrxS,2026-08-24 23:29:53.966,bullet,standard,black,3238,2983,win,52
mnHod8JN,2026-08-24 23:28:48.102,bullet,standard,white,3236,2985,win,71
krfu06S8,2026-08-24 23:27:42.646,bullet,standard,black,3234,2988,win,76
y1W00mus,2026-08-24 23:26:37.162,bullet,standard,white,3231,2990,win,79
GRS9azGZ,2026-08-24 23:25:30.926,bullet,standard,black,3229,2992,win,82
vpTs6VSo,2026-08-24 23:24:46.810,bullet,standard,white,3238,2983,loss,54
bQghtDHc,2026-08-24 23:23:43.580,bullet,standard,black,3236,2985,win,94
AV4qh3cC,2026-08-24 23:22:56.529,bullet,standard,white,3234,2987,win,53
B1YGpzRr,2026-08-24 23:21:49.652,bullet,standard,black,3243,2978,loss,89
wEfp1v01,2026-08-24 23:21:09.344,bullet,standard,white,3241,2980,win,51
DemvRSdz,2026-08-24 23:20:05.759,bullet,standard,black,3239,2982,win,86
tmij8ylB,2026-08-24 23:19:25.769,bullet,standard,white,3236,2984,win,45
WJhF9hgp,2026-08-24 23:18:35.200,bullet,standard,black,3234,2987,win,72
Rclf4jTR,2026-08-24 23:17:41.452,bullet,standard,white,3232,2989,win,71
DpSK2aBy,2026-08-24 23:17:18.089,bullet,standard,black,3229,2991,win,32
TpUz4wiB,2026-08-24 23:16:22.645,bullet,standard,white,3239,2982,loss,74
WrVVhIGE,2026-08-24 23:15:20.285,bullet,standard,black,3236,2984,win,102
bba7FyrJ,2026-08-24 23:14:36.918,bullet,standard,white,3234,2986,win,55
UxoeBt7S,2026-08-24 23:13:55.750,bullet,standard,black,3232,2989,win,34
8GIlFddi,2026-08-24 23:12:46.069,bullet,standard,white,3230,2991,win,101
po1QOI1S,2026-08-24 23:11:47.240,bullet,standard,black,3227,2994,win,64
Zf2xzM8H,2026-08-24 23:10:56.779,bullet,standard,white,3225,2996,win,65
IrUrvsC6,2026-08-24 23:10:32.822,bullet,standard,black,3222,2998,win,32
Dpc1899u,2026-08-24 23:10:18.893,bullet,standard,white,3220,3001,win,25
oqzybTI5,2026-08-24 23:09:12.463,bullet,standard,black,3229,2992,loss,123
Ko4ShK0j,2026-08-24 23:08:12.401,bullet,standard,white,3226,2994,win,85
LyyrFZjN,2026-08-24 23:07:15.725,bullet,standard,black,3224,2997,win,70
2gByWmTW,2026-08-24 23:06:12.009,bullet,standard,white,3221,2999,win,85
45TJFMH3,2026-08-24 23:05:06.557,bullet,standard,black,3230,2990,loss,85
zLKQs2hN,2026-08-24 23:04:01.112,bullet,standard,white,3228,2992,win,89
jJIFGkTS,2026-08-24 23:03:10.806,bullet,standard,black,3225,2995,win,70
IdPA7Nht,2026-08-24 23:02:07.427,bullet,standard,white,3223,2997,win,81
5eA5Ngvf,2026-08-24 23:01:24.012,bullet,standard,black,3220,3000,win,56
lpaifNCm,2026-08-24 23:00:33.513,bullet,standard,white,3218,3002,win,55
0kYzarhu,2026-08-24 22:59:39.605,bullet,standard,black,3215,3005,win,70
SrCljzgq,2026-08-24 22:58:43.686,bullet,standard,white,3224,2996,loss,88
wnZroQSn,2026-08-24 22:57:31.573,bullet,standard,black,3222,2999,win,104
uuVo9lkF,2026-08-24 22:56:28.767,bullet,standard,white,3231,2989,loss,92
WWjdOgc0,2026-08-24 22:55:28.992,bullet,standard,black,3228,2992,win,86
HZLpFBa3,2026-08-24 22:54:35.623,bullet,standard,white,3226,2994,win,65
Zdgf8seS,2026-08-24 22:53:34.900,bullet,standard,black,3223,2997,win,74
